104439	104439	SF4	5D8V_A	2016-05-25	0.48	1	83	P80176	1050.0	Thermochromatium tepidum	1050	THERMOCHROMATIUM TEPIDUM
792	792	M94	5G6K_A	2016-09-21	0.515	1	363	O34453	224308.0	Bacillus subtilis (strain 168)	224308	BACILLUS SUBTILIS
63252	63252	QUA	4HP2_A	2013-10-02	0.64	56	72	P0C8P8	146537.0	Streptomyces azureus	146537	STREPTOMYCES AZUREUS
18910	18910	LDT	1US0_A	2004-05-07	0.66	1	316	P15121	9606.0	Homo sapiens	9606	HOMO SAPIENS
81623	81623	XEB	5ADG_A	2015-10-28	0.712	302	722	P29475	9606.0	Homo sapiens	9606	HOMO SAPIENS
87543	87543	N92	6TGU_A	2020-07-08	0.83	1	350	P19784	9606.0	Homo sapiens	9606	HOMO SAPIENS
83208	83208	WMB	7G0Z_A	2023-06-14	0.84	1	132	P15090	9606.0	Homo sapiens	9606	HOMO SAPIENS
69633	69633	BTN	2GH7_B	2006-04-18	0.85	37	163	P22629	1895.0	Streptomyces avidinii	1895	STREPTOMYCES AVIDINII
98918	98918	QBV	6UN0_A	2020-07-15	0.85	1	125	P16113	1053.0	Halorhodospira halophila	1053	HALORHODOSPIRA HALOPHILA
97597	97597	6RD	5L87_A	2017-03-08	0.86	20	84	Q8IEW2			5702	TRYPANOSOMA BRUCEI BRUCEI
62280	62280	3GK	4UAA_A	2015-06-24	0.86	23	284	H6UQI0			562	ESCHERICHIA COLI
27893	27893	DAO	4TKB_A	2015-01-28	0.86	1	133	P05413	9606.0	Homo sapiens	9606	HOMO SAPIENS
51871	51871	BOG	3ZOJ_A	2013-06-26	0.88	1	279	F2QVG4			4922	KOMAGATAELLA PASTORIS
102219	102219	RTL	5HBS_A	2016-03-02	0.89	2	135	P09455	9606.0	Homo sapiens	9606	HOMO SAPIENS
95800	95800	F3S	4U9H_S	2015-01-21	0.89	53	317	P21853	883.0	Desulfovibrio vulgaris (strain DSM 19637 / Miyazaki F)	883	DESULFOVIBRIO VULGARIS
58290	58290	HGB	3K34_A	2010-05-12	0.9	1	260	P00918	9606.0	Homo sapiens	9606	HOMO SAPIENS
44330	44330	2OY	4NSV_B	2014-04-23	0.9	1	266	Q7M135	69.0	Lysobacter enzymogenes	69	LYSOBACTER ENZYMOGENES
53113	53113	NHE	7TWO_A	2022-02-23	0.9	1025	1191	P0DTD1	2697049.0	Severe acute respiratory syndrome coronavirus 2	2697049	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS
105193	105193	6B3	5IG6_A	2016-06-22	0.91	348	454	P25440	9606.0	Homo sapiens	9606	HOMO SAPIENS
95430	95430	REG	5R2D_A	2020-06-03	0.92	1	419	P11838	5116.0	Cryphonectria parasitica	5116	CRYPHONECTRIA PARASITICA
104797	104797	SF4	1IQZ_A	2002-02-13	0.92	1	81	P10245	1427.0	Bacillus thermoproteolyticus	1427	BACILLUS THERMOPROTEOLYTICUS
22474	22474	MMV	6UWW_A	2020-11-11	0.92	1	165	A0PQG8			362242	MYCOBACTERIUM ULCERANS (STRAIN AGY99)
10453	10453	SF4	1B0Y_A	1998-12-16	0.93	38	122	P00260	572477.0	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D)	1049	ALLOCHROMATIUM VINOSUM
76622	76622	30M	4QB3_A	2015-04-22	0.94	44	168	O60885	9606.0	Homo sapiens	9606	HOMO SAPIENS
6740	6740	SF4	2FDN_A	1998-04-08	0.94	2	56	P00198	1128398.0	Gottschalkia acidurici (strain ATCC 7906 / DSM 604 / BCRC 14475 / CIP 104303 / KCTC 5404 / NCIMB 10678 / 9a)	1556	CLOSTRIDIUM ACIDURICI
104650	104650	E1F	4KP5_C	2013-11-06	0.945	30	291	O43570	9606.0	Homo sapiens	9606	HOMO SAPIENS
49320	49320	SF4	5JSK_A	2017-03-22	0.95	1	317	Q72AS4			882	DESULFOVIBRIO VULGARIS STR. HILDENBOROUGH
2032	2032	LXW	6SY3_A	2020-05-13	0.95	1	246	P00760	9913.0	Bos taurus	9913	BOS TAURUS
73470	73470	9DU	5ZJ7_A	2019-03-20	0.96	29	270	C7C422	573.0	Klebsiella pneumoniae	573	KLEBSIELLA PNEUMONIAE
72347	72347	J4N	6QLR_A	2019-07-10	0.97	113	250	P17931	9606.0	Homo sapiens	9606	HOMO SAPIENS
8859	8859	7UO	7PMT_A	2022-09-14	0.98	44	207	P30405	9606.0	Homo sapiens	9606	HOMO SAPIENS
19047	19047	HJK	6Q4G_A	2019-03-20	0.98	1	298	P24941	9606.0	Homo sapiens	9606	HOMO SAPIENS
36535	36535	GKI	7QYO_A	2022-09-28	0.98	1796	1899	Q9UIF9	9606.0	Homo sapiens	9606	HOMO SAPIENS
35679	35679	BOG	4AWT_A	2013-06-26	0.98	1	365	Q8EEC8			211586	SHEWANELLA ONEIDENSIS
20931	20931	K0G	5SBQ_A	2021-09-22	0.988	23	172	P15379	10090.0	Mus musculus	10090	MUS MUSCULUS
9593	9593	O0L	7UOX_A	2023-03-08	0.99	29	270	E9NWK5			573	KLEBSIELLA PNEUMONIAE
41998	41998	71X	5LPL_A	2017-08-16	0.99	1081	1197	Q92793	9606.0	Homo sapiens	9606	HOMO SAPIENS
79986	79986	4D6	6TD0_A	2020-01-22	0.99	25	293	Q9F663	573.0	Klebsiella pneumoniae	573	KLEBSIELLA PNEUMONIAE
17779	17779	HG	3I34_X	2010-06-30	0.99	106	384	P06873	37998.0	Parengyodontium album	37998	TRITIRACHIUM ALBUM
108207	108207	CXS	6RZ0_A	2020-07-15	0.99	1	251	P0AC84	83333.0	Escherichia coli (strain K12)	83333	ESCHERICHIA COLI (STRAIN K12)
20116	20116	XY2	2CE2_X	2006-08-23	0.99	1	166	P01112	9606.0	Homo sapiens	9606	HOMO SAPIENS
45909	45909	3JF	4W9H_F	2014-09-10	0.991	54	213	P40337	9606.0	Homo sapiens	9606	HOMO SAPIENS
57736	57736	3XT	4X6H_A	2015-09-23	1.0	115	329	P43235	9606.0	Homo sapiens	9606	HOMO SAPIENS
95043	95043	PMP	4E3Q_C	2012-10-10	1.0	1	453	F2XBU9			676	VIBRIO FLUVIALIS
68610	68610	4D6	6V7H_A	2020-08-12	1.0	29	291	Q9L5C7			562	ESCHERICHIA COLI
5768	5768	STR	2ABA_A	2005-10-11	1.0	2	365	P71278			550	ENTEROBACTER CLOACAE
88340	88340	9M9	5ADM_A	2015-10-28	1.0	40	482	P29473	9913.0	Bos taurus	9913	BOS TAURUS
74595	74595	9M9	5AD8_B	2015-10-28	1.0	297	718	P29476	10116.0	Rattus norvegicus	10116	RATTUS NORVEGICUS
108033	108033	MTN	5JDT_A	2016-09-28	1.0	1	164	P00720	10665.0	Enterobacteria phage T4	10665	ENTEROBACTERIA PHAGE T4
65793	65793	NHE	3NOQ_B	2010-07-07	1.0	1	228	Q4K977			294	PSEUDOMONAS FLUORESCENS
30441	30441	BTN	1Y55_Y	2005-05-24	1.0	25	150	P56734	9031.0	Gallus gallus	9031	GALLUS GALLUS
67391	67391	027	3PIX_A	2011-01-12	1.0	387	659	Q06187	9606.0	Homo sapiens	9606	HOMO SAPIENS
35103	35103	U12	2GG2_A	2006-06-13	1.0	2	264	P0AE18	83333.0	Escherichia coli (strain K12)	83333	ESCHERICHIA COLI K12
77783	77783	HG	1IS9_A	2002-09-04	1.0	33	395	A3DC29	203119.0	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372)	1515	CLOSTRIDIUM THERMOCELLUM
55308	55308	7KN	5MAE_A	2017-01-11	1.0	114	333	P07711	9606.0	Homo sapiens	9606	HOMO SAPIENS
7748	7748	SF4	3H31_A	2009-12-15	1.0	54	127	C4P582			29549	RHODOTHERMUS MARINUS
69180	69180	BYB	6EUW_A	2017-12-13	1.0	318	483	Q2LG68			365107	INFLUENZA A VIRUS
101617	101617	HTG	2PL7_B	2007-07-17	1.0	16	86	P79073	51453.0	Hypocrea jecorina	51453	HYPOCREA JECORINA
83785	83785	NHE	5IDB_A	2016-07-06	1.0	2	143	K1QRB6			29159	CRASSOSTREA GIGAS
75770	75770	VU6	8ONV_A	2023-06-07	1.01	1	164	P01116	9606.0	Homo sapiens	9606	HOMO SAPIENS
26344	26344	GRI	3SK2_A	2011-08-31	1.01	1	129	Q8GPH6	549.0	Enterobacter agglomerans	549	PANTOEA AGGLOMERANS
57355	57355	SF4	8BJ8_A	2023-04-26	1.01	2	397	P07598	882.0	Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough)	876	DESULFOVIBRIO DESULFURICANS
41332	41332	OKC	7UYA_A	2023-05-24	1.01	27	266	Q9XAY4			287	PSEUDOMONAS AERUGINOSA
75541	75541	R8W	7AEZ_A	2021-10-06	1.018	42	270	X5CZV5			573	KLEBSIELLA PNEUMONIAE
72496	72496	HG	1CC8_A	1999-12-12	1.02	1	73	P38636	559292.0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	4932	SACCHAROMYCES CEREVISIAE
23061	23061	SF4	6N59_A	2019-12-25	1.02	1	574	P29166	1501.0	Clostridium pasteurianum	1501	CLOSTRIDIUM PASTEURIANUM
37132	37132	M1I	8AG2_A	2022-08-31	1.025	2917	3037	Q12830	9606.0	Homo sapiens	9606	HOMO SAPIENS
45539	45539	ESI	1C5W_B	2000-12-22	1.03	179	431	P00749	9606.0	Homo sapiens	9606	HOMO SAPIENS
63345	63345	67C	6BQA_A	2018-11-14	1.03	138	239	Q9H8M2	9606.0	Homo sapiens	9606	HOMO SAPIENS
82825	82825	LSR	3CR6_A	2009-03-17	1.03	2	138	P29373	9606.0	Homo sapiens	9606	HOMO SAPIENS
21807	21807	WCC	4UDX_X	2015-05-13	1.03	1	636	Q9F8A8	246194.0	Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901)	129958	CARBOXYDOTHERMUS HYDROGENOFORMANS
78530	78530	CXS	5P9V_A	2017-11-22	1.04	44	264	P22734	10116.0	Rattus norvegicus	10116	RATTUS NORVEGICUS
27562	27562	M2C	1QXY_A	2004-03-16	1.04	1	252	P0A078	158878.0	Staphylococcus aureus (strain Mu50 / ATCC 700699)	1280	STAPHYLOCOCCUS AUREUS
53172	53172	DXK	6FNK_A	2018-08-08	1.049	598	892	P54760	9606.0	Homo sapiens	9606	HOMO SAPIENS
70623	70623	PLP	7LKL_B	2022-02-02	1.05	1	397	P0A2K1	99287.0	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	90371	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR
41689	41689	KQW	6S14_A	2019-06-26	1.05	127	485	Q13627	9606.0	Homo sapiens	9606	HOMO SAPIENS
83272	83272	DOJ	6BG3_A	2018-09-26	1.05	62	259	Q96GG9	9606.0	Homo sapiens	10665, 9606	ENTEROBACTERIA PHAGE T4, HOMO SAPIENS
37247	37247	GQY	5QHT_A	2019-04-10	1.05	1208	1388	Q460N5	9606.0	Homo sapiens	9606	HOMO SAPIENS
97724	97724	SF3	6FPO_T	2019-02-27	1.05	46	372	P69739	83333.0	Escherichia coli (strain K12)	199310	ESCHERICHIA COLI CFT073
104219	104219	BSA	1YQS_A	2005-06-28	1.05	32	380	P15555	31952.0	Streptomyces sp. (strain R61)	31952	STREPTOMYCES SP.
95926	95926	F9F	7LKL_A	2022-02-02	1.05	1	268	P00929	99287.0	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	90371	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR
46132	46132	XX6	2V3I_A	2008-07-01	1.05	18	451	P62694	51453.0	Hypocrea jecorina	51453	HYPOCREA JECORINA
101860	101860	EMC	1EUW_A	2000-05-03	1.05	2	152	P06968	83333.0	Escherichia coli (strain K12)	562	ESCHERICHIA COLI
138	138	LII	1KMV_A	2002-07-10	1.05	2	187	P00374	9606.0	Homo sapiens	9606	HOMO SAPIENS
94814	94814	MBT	5ACM_A	2015-12-02	1.05	20	118	P01709	9606.0	Homo sapiens	9606	HOMO SAPIENS
27161	27161	TNZ	7BHS_A	2021-04-21	1.05	1	395	P31153	9606.0	Homo sapiens	9606	HOMO SAPIENS
